Genome	Genome_accession
MGYG000006661	CAJJMC01
MGYG000006662	CAJLIR01
MGYG000006663	CAJMHP01
MGYG000006664	CAJJOM01
MGYG000006665	CAJLCA01
MGYG000006666	GCA_009719555
MGYG000006667	CAJLIE01
MGYG000006668	CAJKJZ01
MGYG000006669	CAJLZM01
MGYG000006670	CAJKJD01
MGYG000006672	CAJKIC01
MGYG000006674	CAJLRU01
MGYG000006675	GCA_009878365
MGYG000006676	CAJKWM01
MGYG000006677	CAJKWN01
MGYG000006678	CAJLWZ01
MGYG000006679	CAJLPU01
MGYG000006680	CAJKYH01
MGYG000006682	CAJMJN01
MGYG000006683	CAJLPB01
MGYG000006684	CAJKZY01
MGYG000006685	CAJLOG01
MGYG000006686	CAJLVN01
MGYG000006687	CAJJXP01
MGYG000006688	CAJKVO01
MGYG000006689	CAJJOI01
MGYG000006690	CAJMPK01
MGYG000006691	CAJLCI01
MGYG000006692	GCA_009881245
MGYG000006693	CAJJQD01
MGYG000006694	CAJKUG01
MGYG000006695	CAJKFB01
MGYG000006696	GCA_009890645
MGYG000006697	CAJKAL01
MGYG000006698	CAJLAX01
MGYG000006699	CAJMLY01
MGYG000006700	CAJJQH01
MGYG000006701	GCA_009710745
MGYG000006702	CAJKWS01
MGYG000006703	GCA_009102585
MGYG000006704	CAJKCR01
MGYG000006705	CAJKNV01
MGYG000006706	CAJKCT01
MGYG000006707	CAJKHJ01
MGYG000006708	CAJMIV01
MGYG000006709	CAJLJW01
MGYG000006710	CAJKEE01
MGYG000006711	CAJMCR01
MGYG000006712	CAJMIW01
MGYG000006713	CAJLJX01
MGYG000006714	CAJMTC01
MGYG000006715	CAJLBH01
MGYG000006716	CAJLIM01
MGYG000006717	CAJKFA01
MGYG000006718	CAJKPD01
MGYG000006719	CAJKYZ01
MGYG000006720	GCA_009716795
MGYG000006721	GCA_009020775
MGYG000006722	CAJLGK01
MGYG000006723	GCA_008571715
MGYG000006725	CAJKGR01
MGYG000006727	CAJLJI01
MGYG000006728	CAJKXR01
MGYG000006729	CAJJKM01
MGYG000006730	CAJLZW01
MGYG000006731	GCA_009877915
MGYG000006732	CAJLEJ01
MGYG000006733	CAJLZY01
MGYG000006734	CAJLJQ01
MGYG000006735	CAJMRJ01
MGYG000006736	CAJJYD01
MGYG000006737	CAJLOI01
MGYG000006738	CAJJYG01
MGYG000006739	CAJKKL01
MGYG000006740	CAJLHW01
MGYG000006741	CAJKUL01
MGYG000006742	CAJJTP01
MGYG000006743	CAJKMN01
MGYG000006744	CAJMIU01
MGYG000006745	GCA_009157135
MGYG000006746	GCA_009019655
MGYG000006747	CAJLFJ01
MGYG000006749	CAJKMX01
MGYG000006750	CAJLRS01
MGYG000006751	CAJLVG01
MGYG000006752	GCA_008572245
MGYG000006753	CAJKAR01
MGYG000006754	CAJJOO01
MGYG000006755	GCA_009077455
MGYG000006756	CAJMDC01
MGYG000006757	CAJKUR01
MGYG000006758	CAJJPA01
MGYG000006759	CAJKCL01
MGYG000006760	CAJKCS01
MGYG000006761	CAJLSA01
MGYG000006762	GCA_009718405
MGYG000006763	GCA_009717325
MGYG000006764	CAJKNW01
MGYG000006765	CAJLFR01
MGYG000006766	CAJKDI01
MGYG000006767	CAJJYB01
MGYG000006768	CAJJMJ01
MGYG000006769	CAJJUA01
MGYG000006770	GCA_009102455
MGYG000006771	CAJLGE01
MGYG000006772	CAJKBT01
MGYG000006773	CAJMNE01
MGYG000006774	GCA_009678475
MGYG000006775	GCA_009718155
MGYG000006776	CAJKXI01
MGYG000006777	CAJKOI01
MGYG000006778	CAJKTF01
MGYG000006779	CAJKYD01
MGYG000006780	GCA_009682555
MGYG000006781	CAJJOS01
MGYG000006782	GCA_009021565
MGYG000006783	CAJLGG01
MGYG000006784	CAJLVP01
MGYG000006785	CAJJXO01
MGYG000006786	GCA_009713025
MGYG000006787	CAJKRJ01
MGYG000006788	CAJKQQ01
MGYG000006789	GCA_009018885
MGYG000006790	CAJKUK01
MGYG000006791	GCA_009875595
MGYG000006793	CAJLFT01
MGYG000006794	CAJKGY01
MGYG000006795	CAJKVR01
MGYG000006796	CAJKQF01
MGYG000006798	CAJJIJ01
MGYG000006799	GCA_009683355
MGYG000006800	CAJKWA01
MGYG000006801	CAJKFN01
MGYG000006802	CAJMES01
MGYG000006803	CAJJNC01
MGYG000006804	CAJLWA01
MGYG000006805	CAJJKB01
MGYG000006806	GCA_009017625
MGYG000006807	CAJLJV01
MGYG000006808	CAJLPX01
MGYG000006809	CAJKWH01
MGYG000006810	CAJMEH01
MGYG000006811	GCA_009717775
MGYG000006812	CAJKXK01
MGYG000006813	CAJLJN01
MGYG000006814	GCA_009107795
MGYG000006815	GCA_008571355
MGYG000006816	GCA_009678245
MGYG000006818	CAJLXZ01
MGYG000006819	GCA_009717495
MGYG000006820	CAJLTT01
MGYG000006821	CAJLHY01
MGYG000006822	CAJLFL01
MGYG000006823	CAJMAW01
MGYG000006824	CAJMEI01
MGYG000006825	GCA_009160085
MGYG000006826	GCA_009682535
MGYG000006827	CAJLGX01
MGYG000006828	CAJKHP01
MGYG000006829	GCA_009876965
MGYG000006830	CAJMIT01
MGYG000006831	CAJMFY01
MGYG000006832	GCA_008572125
MGYG000006833	CAJKWW01
MGYG000006834	CADFMD01
MGYG000006835	CAJLQK01
MGYG000006836	CAJJWS01
MGYG000006838	GCA_009680205
MGYG000006839	CAJKKM01
MGYG000006840	CAJLEX01
MGYG000006841	CAJLHX01
MGYG000006842	GCA_008569115
MGYG000006843	CAJKWE01
MGYG000006844	CAJKWX01
MGYG000006845	CAJJRQ01
MGYG000006846	CAJMBT01
MGYG000006847	CAJJQE01
MGYG000006848	CAJJWW01
MGYG000006849	CAJKKG01
MGYG000006850	CAJKEI01
MGYG000006851	CAJKZZ01
MGYG000006852	CAJKKH01
MGYG000006853	GCA_009883385
MGYG000006855	CAJJSI01
MGYG000006856	CAJJWF01
MGYG000006857	CAJLIT01
MGYG000006858	GCA_009679755
MGYG000006859	CAJKZF01
MGYG000006860	CAJLDM01
MGYG000006861	CAJKAY01
MGYG000006862	CAJKMT01
MGYG000006863	CAJLDH01
MGYG000006864	CAJLHH01
MGYG000006866	CAJLGS01
MGYG000006867	CAJKGO01
MGYG000006868	CAJMDF01
MGYG000006869	GCA_008417905
MGYG000006870	CAJLTM01
MGYG000006871	CAJKBM01
MGYG000006872	GCA_009883045
MGYG000006873	CAJJUW01
MGYG000006874	GCA_009718305
MGYG000006875	CAJMBA01
MGYG000006876	CAJJNN01
MGYG000006877	CAJKHB01
MGYG000006878	CAJKCM01
MGYG000006879	CAJJWN01
MGYG000006880	GCA_009157445
MGYG000006881	CAJKZO01
MGYG000006882	CAJLHV01
MGYG000006883	CAJLOZ01
MGYG000006884	CAJLQC01
MGYG000006885	CAJJWG01
MGYG000006886	GCA_009023155
MGYG000006887	CAJKLX01
MGYG000006888	CAJJRR01
MGYG000006889	CAJLNS01
MGYG000006890	CAJKHO01
MGYG000006891	CAJLPV01
MGYG000006892	CAJJTJ01
MGYG000006893	CAJMAM01
MGYG000006894	CAJLSN01
MGYG000006895	CAJKSC01
MGYG000006896	CAJJZH01
MGYG000006897	CAJMOT01
MGYG000006898	CAJLML01
MGYG000006899	CAJMBO01
MGYG000006900	CAJJQS01
MGYG000006901	CAJLTN01
MGYG000006902	GCA_009677065
MGYG000006903	GCA_008566075
MGYG000006904	CAJKOY01
MGYG000006905	CAJLMB01
MGYG000006906	GCA_008416485
MGYG000006907	CAJLIN01
MGYG000006908	CAJLQL01
MGYG000006909	CAJLVV01
MGYG000006910	CAJLHP01
MGYG000006911	CAJMKS01
MGYG000006912	CAJLHU01
MGYG000006913	CAJMMA01
MGYG000006914	CAJLHB01
MGYG000006915	CAJLRG01
MGYG000006916	CAJKYR01
MGYG000006917	CAJJQU01
MGYG000006918	CAJMFC01
MGYG000006919	GCA_009890725
MGYG000006920	CAJJNL01
MGYG000006921	CAJMRE01
MGYG000006922	CAJKKJ01
MGYG000006923	CAJKVU01
MGYG000006924	CAJKRL01
MGYG000006925	CAJKLR01
MGYG000006926	CAJLLF01
MGYG000006927	GCA_008571545
MGYG000006928	CAJMAF01
MGYG000006929	CAJLUS01
MGYG000006930	GCA_009107485
MGYG000006931	CAJLEA01
MGYG000006932	GCA_009019135
MGYG000006933	CAJLXR01
MGYG000006934	CAJJLQ01
MGYG000006935	CAJLVH01
MGYG000006936	CAJKBW01
MGYG000006938	CAJJQB01
MGYG000006939	CAJLZI01
MGYG000006941	CAJJLI01
MGYG000006942	CAJKFW01
MGYG000006943	CAJJMK01
MGYG000006944	CAJLBA01
MGYG000006945	CAJLNA01
MGYG000006946	CAJLLQ01
MGYG000006947	CAJLTO01
MGYG000006948	CAJLUN01
MGYG000006949	CAJJVZ01
MGYG000006950	CAJJUL01
MGYG000006951	CAJKSZ01
MGYG000006952	CAJLNB01
MGYG000006953	GCA_008571655
MGYG000006954	CAJKDO01
MGYG000006956	CAJMKL01
MGYG000006957	CAJKVB01
MGYG000006959	CAJMDS01
MGYG000006960	CAJJNY01
MGYG000006962	CAJKDC01
MGYG000006963	CAJJPI01
MGYG000006964	CAJKGF01
MGYG000006965	CAJKTD01
MGYG000006966	GCA_009717145
MGYG000006968	CAJKSY01
MGYG000006969	CAJJRG01
MGYG000006970	CAJLIQ01
MGYG000006971	CAJMCH01
MGYG000006973	CAJMEA01
MGYG000006974	CAJKNU01
MGYG000006975	GCA_009876455
MGYG000006976	CAJKAS01
MGYG000006977	CAJKVL01
MGYG000006978	CAJMBH01
MGYG000006979	CAJLWF01
MGYG000006980	CAJLCG01
MGYG000006981	CAJKTT01
MGYG000006982	CAJJTT01
MGYG000006983	CAJJIX01
MGYG000006984	CAJKEO01
MGYG000006985	CAJJZS01
MGYG000006986	CAJLNF01
MGYG000006987	CAJMNL01
MGYG000006988	CAJLAT01
MGYG000006989	CAJMFX01
MGYG000006990	CAJJNQ01
MGYG000006991	CAJJIT01
MGYG000006992	GCA_008423365
MGYG000006994	GCA_009680455
MGYG000006995	CAJLGM01
MGYG000006996	GCA_008416285
MGYG000006997	CAJKIG01
MGYG000006998	CAJKTH01
MGYG000006999	CAJMSC01
MGYG000007001	CAJLFX01
MGYG000007002	CAJKRM01
MGYG000007003	CAJKNP01
MGYG000007004	CAJJWD01
MGYG000007007	CAJLDI01
MGYG000007008	CAJKGU01
MGYG000007009	CAJKXD01
MGYG000007010	CAJLCV01
MGYG000007012	CAJLFO01
MGYG000007013	CAJLFD01
MGYG000007014	CAJLDS01
MGYG000007015	GCA_009680105
MGYG000007016	CAJKOW01
MGYG000007017	CAJKJO01
MGYG000007018	CAJKCB01
MGYG000007019	CAJJUN01
MGYG000007020	CAJMKU01
MGYG000007021	CAJKOG01
MGYG000007022	CAJLER01
MGYG000007023	CAJKLZ01
MGYG000007024	CAJLKX01
MGYG000007025	GCA_008416325
MGYG000007026	GCA_009025145
MGYG000007027	CAJMPW01
MGYG000007028	CAJLQR01
MGYG000007030	GCA_008569415
MGYG000007031	CAJMFQ01
MGYG000007032	CAJLGQ01
MGYG000007033	GCA_009715425
MGYG000007034	CAJJIM01
MGYG000007035	CAJJWA01
MGYG000007036	CAJLEH01
MGYG000007037	CAJJUT01
MGYG000007038	GCA_008569015
MGYG000007039	GCA_009020445
MGYG000007040	CAJLNO01
MGYG000242511	ERZ984445
MGYG000159242	ERZ961729
MGYG000077459	ERZ852321
MGYG000091530	ERZ843660
MGYG000250892	ERZ895357
MGYG000122215	ERZ899127
MGYG000098353	ERZ833979
MGYG000242115	LJJT01
MGYG000224412	ERZ899255
MGYG000226009	ERZ867616
MGYG000167614	JORO01
MGYG000120484	ERZ933998
MGYG000173856	ERZ970927
MGYG000160748	ERZ937479
MGYG000103439	ERZ977996
MGYG000119910	ERZ869081
MGYG000165464	ERZ936277
MGYG000235322	ERZ870834
MGYG000000223	CABJEI02,QVFH01
MGYG000238493	ERZ974062
MGYG000192300	ERZ971501
MGYG000002405	GCA_900119915.1
MGYG000281970	ERZ843007
MGYG000221720	ERZ972209
MGYG000105346	ERZ979866
MGYG000250272	ERZ843219
MGYG000209352	ERZ874212
MGYG000100561	ERZ829315
MGYG000223198	ERZ959469
MGYG000257543	ERZ851751
MGYG000084399	ERZ829646
MGYG000055227	JEYQ01
MGYG000116998	ERZ965748
MGYG000120964	ERZ928114
MGYG000275093	ERZ868214
MGYG000138656	UQWT01
MGYG000287355	AOPH01
MGYG000047850	ERZ848952
MGYG000085103	ERZ973253
MGYG000232675	ERZ983253
MGYG000176875	ERZ850393
MGYG000251919	ERZ960847
MGYG000270858	ERZ972085
MGYG000215087	NTOI01
MGYG000233399	NRYE01
MGYG000080645	ERZ931548
MGYG000231092	ERZ895224
MGYG000210859	ERZ960544
MGYG000040672	ERZ898577
MGYG000190747	ERZ845821
MGYG000096690	ERZ845821
MGYG000281315	ERZ875697
MGYG000191804	ERZ945965
MGYG000275829	ERZ974139
MGYG000054454	ERZ936823
MGYG000173369	ERZ902021
MGYG000032306	ERZ978854
MGYG000147845	ERZ896920
MGYG000007940	ERZ867641
MGYG000046197	ERZ848145
MGYG000277028	ERZ977032
MGYG000002537	PNRK01,CABMOG01
MGYG000227056	URTR01
MGYG000256190	ERZ846677
MGYG000136520	ERZ970648
MGYG000053742	ERZ837879
MGYG000273232	ERZ898415
MGYG000262754	ALDF01
MGYG000000328	CABPXS01
MGYG000040017	ERZ965960
MGYG000029295	ERZ843081
MGYG000094805	ERZ837681
MGYG000075321	ERZ851791
MGYG000273094	ERZ981309
MGYG000167112	ERZ971717
MGYG000197896	ERZ839810
MGYG000205100	LLYJ01
MGYG000078979	ERZ980153
MGYG000172120	ERZ836366
MGYG000230826	ERZ833002
MGYG000100132	ERZ838019
MGYG000172752	ERZ906844
MGYG000216359	ERZ896480
MGYG000084905	ERZ865678
MGYG000220691	ERZ866592
MGYG000245408	PQAD01
MGYG000138576	ERZ927587
MGYG000022983	ERZ839035
MGYG000193202	ERZ835199
MGYG000128725	ERZ985961
MGYG000112258	ERZ877264
MGYG000170102	ERZ976861
MGYG000272483	ERZ829237
MGYG000244850	ERZ829887
MGYG000232222	LVII01
MGYG000052895	ERZ864040
MGYG000152521	ERZ846492
MGYG000272565	ERZ963327
MGYG000200943	ERZ901060
MGYG000004079	CABUKC01
MGYG000103654	ERZ862720
MGYG000264072	ERZ978967
MGYG000077181	ERZ850291
MGYG000096161	ERZ829203
MGYG000103961	ERZ980269
MGYG000219101	ERZ905694
MGYG000123884	ERZ849242
MGYG000263221	ERZ877930
MGYG000002861	CABSRJ01,UQBH01
MGYG000104334	ERZ929313
MGYG000003287	CABTGN01
MGYG000243410	ERZ873387
MGYG000286154	ERZ843898
MGYG000193375	ERZ983592
MGYG000005814	CAJMFF01
MGYG000018886	UQHE01
MGYG000269425	ERZ961219
MGYG000252796	ERZ843815
MGYG000119809	ERZ839926
MGYG000100201	ERZ906886
MGYG000159555	ERZ979748
MGYG000278800	ERZ865776
MGYG000277676	ERZ963510
MGYG000204336	ERZ861148
MGYG000278707	ERZ833510
MGYG000087116	ERZ840136
MGYG000139195	ERZ900188
MGYG000012017	ERZ865350
MGYG000133038	ERZ905830
MGYG000208859	ERZ936607
MGYG000121463	ERZ929302
MGYG000277693	ERZ982415
MGYG000244820	ERZ905853
MGYG000249160	ERZ966263
MGYG000183579	ERZ847644
MGYG000272446	ERZ935360
MGYG000266643	ERZ843368
MGYG000278012	ERZ874238
MGYG000221517	ERZ950980
MGYG000266867	ERZ868307
MGYG000162824	ERZ832970
MGYG000123940	ERZ944755
MGYG000137628	MPFL01
MGYG000200431	JJLL01
MGYG000060415	ERZ903998
MGYG000031012	ERZ972020
MGYG000255753	ERZ880005
MGYG000242363	ERZ833522
MGYG000167562	QSSM01
MGYG000223483	ERZ906914
MGYG000226485	ERZ875944
MGYG000232434	ERZ987565
MGYG000264280	ERZ975001
MGYG000215455	ERZ874317
MGYG000011603	ERZ875629
MGYG000068659	ERZ847230
MGYG000251142	LPSX01
MGYG000107855	ERZ898146
MGYG000093781	ERZ927714
MGYG000168601	CAAERT01
MGYG000241933	ERZ850546
MGYG000194159	ERZ901357
MGYG000284875	NLDJ01
MGYG000071319	ERZ862520
MGYG000288412	ERZ900410
MGYG000108357	ERZ899974
MGYG000044002	ERZ865616
MGYG000036156	ERZ979582
MGYG000254413	ERZ987012
MGYG000243325	ERZ895464
MGYG000144754	ERZ977488
MGYG000240243	ERZ928756
MGYG000114847	ERZ934411
MGYG000041464	ERZ899066
MGYG000148174	ERZ875438
MGYG000020740	ERZ972727
MGYG000025465	ERZ845083
MGYG000158351	ERZ876258
MGYG000102179	ERZ947493
MGYG000130413	ERZ984274
MGYG000251845	ERZ838812
MGYG000150266	ERZ860620
MGYG000006118	CAJMAO01
MGYG000111038	ERZ870630
MGYG000121693	ERZ971906
MGYG000045455	ERZ981177
MGYG000112981	FUAV01
MGYG000076239	ERZ962800
MGYG000029986	ERZ832568
MGYG000082059	ERZ873640
MGYG000141880	ERZ896349
MGYG000113655	ERZ899695
MGYG000180036	GCA_000157935.1
MGYG000152071	MLZI01
MGYG000284102	ERZ961782
MGYG000215969	ERZ850204
MGYG000026719	ERZ866458
MGYG000006167	CAJJLH01
MGYG000104356	ERZ935198
MGYG000104370	ERZ896921
MGYG000263236	ERZ980411
MGYG000231306	ERZ961754
MGYG000216322	LNZK01
MGYG000267733	ERZ876728
MGYG000111159	ERZ832605
MGYG000243389	ERZ846293
MGYG000046374	ERZ873491
MGYG000052259	ERZ982196
MGYG000089955	ERZ838053
MGYG000058604	ERZ989597
MGYG000267451	ERZ870356
MGYG000020885	ERZ933747
MGYG000222890	ERZ871823
MGYG000085169	GCA_000154305.1
MGYG000192376	ERZ985604
MGYG000270182	ERZ984710
MGYG000000384	CABPZP01
MGYG000138003	ERZ871709
MGYG000273864	ERZ982652
MGYG000179070	ERZ978987
MGYG000182337	ERZ900019
MGYG000045834	MOZR01
MGYG000107467	ERZ839688
MGYG000173316	ERZ868903
MGYG000068076	ERZ973673
MGYG000151969	ERZ968368
MGYG000194139	ERZ848261
MGYG000261540	ERZ931327
MGYG000138670	ERZ937748
MGYG000078034	ERZ978063
MGYG000065666	ERZ927001
MGYG000237945	ERZ861084
MGYG000167396	ERZ979179
MGYG000056600	ERZ838623
MGYG000266920	ERZ979419
MGYG000262474	ERZ838785
MGYG000024535	ERZ873569
MGYG000014314	ERZ898272
MGYG000208391	ERZ946730
MGYG000044929	NTIS01
MGYG000014799	ERZ974519
MGYG000115791	ERZ973551
MGYG000084545	GCA_001597715.1
MGYG000170458	ERZ984369
MGYG000221902	ERZ932171
MGYG000039035	ERZ934557
MGYG000129616	ERZ960803
MGYG000102082	ERZ867813
MGYG000009740	ERZ878355
MGYG000141559	ERZ947627
MGYG000058830	ERZ972312
MGYG000125603	ERZ929575
MGYG000249833	ERZ933189
MGYG000285326	ERZ898326
MGYG000150724	ERZ982812
MGYG000207749	ERZ864490
MGYG000248130	ERZ973300
MGYG000086796	ERZ962098
MGYG000090931	PUHG01
MGYG000010477	ERZ866896
MGYG000143656	ERZ896177
MGYG000023129	ERZ847009
MGYG000245927	ERZ935695
MGYG000012267	ERZ863227
MGYG000201065	ERZ987137
MGYG000261677	ERZ970422
MGYG000221912	ERZ981443
MGYG000184438	ERZ977626
MGYG000105241	ERZ846756
MGYG000013001	ERZ982607
MGYG000213417	ERZ977156
MGYG000110856	ERZ847193
MGYG000002661	CABSJT01
MGYG000161623	NFOJ01
MGYG000060259	ERZ872259
MGYG000159300	ERZ931212
MGYG000000883	USLX01,CABQSZ01
MGYG000025953	ERZ830394
MGYG000037664	QTUV01
MGYG000033995	ERZ935561
MGYG000058160	ERZ874188
MGYG000071057	NOTJ01
MGYG000222637	ERZ836172
MGYG000085067	ERZ833030
MGYG000247492	ERZ860736
MGYG000257326	ERZ863991
MGYG000076132	ERZ895310
MGYG000228267	ERZ836680
MGYG000117072	ERZ879248
MGYG000088483	ERZ900342
MGYG000126351	ERZ872271
MGYG000002040	CABRYK01
MGYG000068824	ERZ867540
MGYG000229173	ERZ967710
MGYG000004472	CABUXX01
MGYG000208284	ERZ929185
MGYG000082191	PJFE01
MGYG000159626	ERZ963093
MGYG000246758	ERZ986764
MGYG000075653	ERZ898663
MGYG000260676	ERZ930020
MGYG000198210	ERZ972516
MGYG000050156	MJIO01
MGYG000280880	ERZ898034
MGYG000114355	ERZ944821
MGYG000129160	ERZ931278
MGYG000210373	ERZ898841
MGYG000231811	ERZ862484
MGYG000105774	ERZ947572
MGYG000275655	ERZ905235
MGYG000122488	NRXU01
MGYG000071014	ERZ863275
MGYG000084639	ERZ868226
MGYG000043223	ERZ979705
MGYG000263452	ERZ980999
MGYG000079252	ERZ985578
MGYG000142370	USFO01
MGYG000017612	QSCT01
MGYG000126176	ERZ873018
MGYG000104956	ERZ837502
MGYG000077220	ERZ871170
MGYG000268464	ERZ972799
MGYG000174071	ERZ837546
MGYG000097587	ERZ933967
MGYG000216593	ERZ861572
MGYG000112679	ERZ833543
MGYG000167233	ERZ898695
MGYG000171560	UQGW01
MGYG000172982	ERZ901625
MGYG000132135	AMKI01
MGYG000115032	ERZ946145
MGYG000201380	ERZ839025
MGYG000038728	ERZ965970
MGYG000106018	ERZ873309
MGYG000203418	ERZ931131
MGYG000224991	CCQA01
MGYG000093895	ERZ895292
MGYG000173487	ERZ978239
MGYG000210930	ERZ927586,ERZ927594
MGYG000110947	ERZ927586,ERZ927594
MGYG000207179	ERZ935338
MGYG000004061	CABUJM01
MGYG000178159	ERZ878587
MGYG000208413	ERZ947126
MGYG000273066	ERZ973259
MGYG000208757	ERZ989643
MGYG000003461	CABTNF01
MGYG000259345	ERZ843907
MGYG000251712	ERZ838410
MGYG000000949	URVD01,CABQVE01
MGYG000272647	ERZ980190
MGYG000110339	ERZ900213
MGYG000191573	ERZ866465
MGYG000085393	ERZ895507
MGYG000079457	ERZ984212
MGYG000254381	ERZ927281
MGYG000041358	ERZ967103
MGYG000218278	ERZ850404
MGYG000035284	AFBM01
MGYG000075464	ERZ903897
MGYG000140556	ERZ978889
MGYG000121486	CAAFCE01
MGYG000220228	ERZ862203
MGYG000108828	ERZ984069
MGYG000270751	ERZ949692
MGYG000225873	ERZ976340
MGYG000248255	CXIQ01
MGYG000061757	ERZ985003
MGYG000198660	ERZ852600
MGYG000048183	ERZ984711
MGYG000276768	ERZ875724
MGYG000149527	ERZ848706
MGYG000236689	ERZ866712
MGYG000127062	ERZ945202
MGYG000040083	ERZ849070
MGYG000236030	ERZ982994
MGYG000002325	GCA_002214085.1
MGYG000188518	ERZ838909
MGYG000113289	ERZ969651
MGYG000084826	ERZ876165
MGYG000123309	FTWW01
MGYG000196962	ERZ929383
MGYG000011036	NJXK01
MGYG000112038	ERZ832836
MGYG000269963	ERZ978540
MGYG000220788	ERZ933274
MGYG000255834	ERZ829578
MGYG000170896	MPJR01
MGYG000087143	ERZ977047
MGYG000088002	ERZ985943
MGYG000112338	JYHY01
MGYG000044173	ERZ974722
MGYG000006011	CAJKIV01
MGYG000109255	MOYX01
MGYG000012450	ERZ930955
MGYG000072812	ERZ872709
MGYG000081986	ERZ876813
MGYG000183750	ERZ833859
MGYG000276600	ERZ877783
MGYG000165625	ERZ864625
MGYG000255883	ERZ962874
MGYG000238614	USCP01
MGYG000090207	ERZ933156
MGYG000136166	ERZ871542
MGYG000010475	ERZ985183
MGYG000029096	ERZ833436
MGYG000218070	ERZ969552
MGYG000124143	ERZ865065
MGYG000094495	ERZ839275
MGYG000111748	ERZ836473
MGYG000034120	ERZ978819
MGYG000124003	ERZ975261
MGYG000133669	ERZ851239
MGYG000125746	ERZ977467
MGYG000191743	ERZ928170
MGYG000006881	CAJKZO01
MGYG000221976	ERZ873606
MGYG000236083	ERZ978310
MGYG000015752	ERZ852446
MGYG000104115	ERZ956863
MGYG000016067	ERZ982687
MGYG000048762	USCM01
MGYG000141671	CAAEIV01
MGYG000070748	ERZ864299
MGYG000028990	ERZ983514
MGYG000022489	ERZ848835
MGYG000226377	ERZ829455
MGYG000036192	ERZ877183
MGYG000150388	ERZ927808
MGYG000078214	CXBD01
MGYG000104858	ERZ833050
MGYG000096566	ERZ940328
MGYG000134572	ERZ944611
MGYG000186473	ERZ898733
MGYG000184821	ERZ902291
MGYG000096271	ERZ843586
MGYG000265454	ERZ949300
MGYG000073685	ERZ982258
MGYG000083032	ERZ837895
MGYG000230261	QRLD01
MGYG000157545	QSQP01
MGYG000288962	ERZ969806
MGYG000058629	PYRD01
MGYG000072766	ERZ989341
MGYG000137312	ERZ935950
MGYG000204624	ERZ836289
MGYG000157224	QUKO01
MGYG000139296	ERZ978852
MGYG000054149	ERZ860636
MGYG000055658	ERZ870688
MGYG000272261	ERZ988298
MGYG000098760	JXHU01
MGYG000005511	CAJMID01
MGYG000000548	CABQFZ01
MGYG000017134	ERZ902010
MGYG000214345	JGDE01
MGYG000167193	ERZ989677
MGYG000176493	ERZ947223
MGYG000025748	ERZ932191
MGYG000219503	CXGN01
MGYG000274139	ERZ860072
MGYG000024560	MQUZ01
MGYG000002765	CABSNU01
MGYG000006805	CAJJKB01
MGYG000065557	ERZ876616
MGYG000170528	JOQT01
MGYG000043967	ERZ936231
MGYG000062917	ERZ958770
MGYG000003456	CABTMY01
MGYG000176498	ERZ864480
MGYG000057702	ERZ973450
MGYG000058328	ERZ879721
MGYG000236109	ERZ846207
MGYG000113719	ERZ899084
MGYG000000339	CABPXX01
MGYG000267788	ERZ976960
MGYG000139352	BFBH01
MGYG000193484	ERZ929404
MGYG000005521	CAJLOX01
MGYG000251729	ERZ863355
MGYG000236365	ERZ901567
MGYG000284068	ERZ865940
MGYG000046644	ERZ844768
MGYG000010544	ERZ961148
MGYG000061764	ERZ851029
MGYG000265819	ERZ840238
MGYG000009482	ERZ974250
MGYG000263511	ERZ945580
MGYG000043227	ERZ978550
MGYG000001295	GCA_000145315.2,CABKMQ02
MGYG000072365	ERZ946958
MGYG000144034	ERZ895163
MGYG000092530	ERZ863982
MGYG000161569	ERZ970428
MGYG000268847	ERZ872890
MGYG000059600	ERZ906355
MGYG000055191	CAAEFS01
MGYG000118676	ERZ829369
MGYG000141615	ERZ972605
MGYG000206968	ERZ835590
MGYG000231401	ERZ830016
MGYG000117577	ERZ987846
MGYG000044797	ERZ879644
MGYG000288756	ERZ903406
MGYG000289196	ERZ836053
MGYG000003394	CABTKN01
MGYG000013042	ERZ829659
MGYG000162792	ERZ937185
MGYG000154995	ERZ843712
MGYG000289213	ERZ896963
MGYG000156961	ERZ983988
MGYG000039958	ERZ876453
MGYG000084723	ERZ873780
MGYG000274161	ERZ905531
MGYG000025801	CUSB01
MGYG000082163	ERZ839054
MGYG000007235	CAADZY01
MGYG000137973	ERZ864778
MGYG000048050	UQAF01
MGYG000115675	ERZ906281
MGYG000221788	ERZ878343
MGYG000165465	ERZ900430
MGYG000038559	ERZ865824
MGYG000022691	ERZ850026
MGYG000046848	ERZ901039
MGYG000227397	ERZ931836
MGYG000083329	ERZ851313
MGYG000029143	UINU01
MGYG000211362	ERZ871307
MGYG000150682	ERZ862408
MGYG000240011	ERZ879418
MGYG000241389	ERZ865410
MGYG000012897	ERZ847412
MGYG000205031	ERZ950606
MGYG000001610	CABRJB01
MGYG000080548	ERZ985517
MGYG000222644	ERZ863534
MGYG000066568	ERZ872150
MGYG000080743	ERZ945126
MGYG000247926	ERZ978188
MGYG000078962	ERZ935399
MGYG000190252	ERZ968021
MGYG000127657	QRNL01
MGYG000281737	ERZ968101
MGYG000082223	ERZ849940
MGYG000139414	ERZ969293
MGYG000282881	ERZ863382
MGYG000286084	ERZ989351
MGYG000187647	ERZ896721
MGYG000250665	ERZ874114
