Genome	Genome_accession
MGYG000004843	CAJJZP01
MGYG000004844	CAJMBE01
MGYG000004845	CAJMRL01
MGYG000004846	CAJLPL01
MGYG000004847	CAJKNK01
MGYG000004848	CAJMMQ01
MGYG000004849	CAJMLQ01
MGYG000004850	CAJMOI01
MGYG000004851	CAJKDE01
MGYG000004852	CAJMIL01
MGYG000004853	CAJMSM01
MGYG000004854	CAJMSD01
MGYG000004855	CAJKSV01
MGYG000004856	CAJLSH01
MGYG000004857	CAJMML01
MGYG000004858	CAJMNA01
MGYG000004859	CAJMLU01
MGYG000004860	CADFJS01
MGYG000004861	CAJMKJ01
MGYG000004862	CAJKHY01
MGYG000004863	CAJMLH01
MGYG000004864	CAJMLK01
MGYG000004865	CAJMOS01
MGYG000004866	CAJKQV01
MGYG000004867	CAJKUA01
MGYG000004868	CAJKZE01
MGYG000004869	GCA_009677585
MGYG000004870	CAJMQH01
MGYG000004871	CAJMNI01
MGYG000004872	CAJKUP01
MGYG000004873	CAJMRQ01
MGYG000004874	CAJMOU01
MGYG000004875	CAJLPI01
MGYG000004876	CAJMQU01
MGYG000004877	CAJJPM01
MGYG000004878	CAJKEK01
MGYG000004879	CAJMQE01
MGYG000004880	CAJMSE01
MGYG000004881	CAJJTN01
MGYG000004882	CAJLLK01
MGYG000004883	CAJLGA01
MGYG000004884	CAJMMH01
MGYG000004885	CAJMSQ01
MGYG000004886	CAJMNX01
MGYG000004887	CAJMMM01
MGYG000004888	CAJMNF01
MGYG000004889	CAJKRW01
MGYG000004890	CAJMQX01
MGYG000004891	CAJMNR01
MGYG000004892	CAJKXG01
MGYG000004893	CAJJPQ01
MGYG000004894	CAJKYO01
MGYG000004895	CAJMQY01
MGYG000004896	CAJKZG01
MGYG000004897	CAJLSB01
MGYG000004898	CAJMLR01
MGYG000004899	CAJLQN01
MGYG000004900	CAJKII01
MGYG000004901	CAJMRC01
MGYG000004902	CAJMFM01
MGYG000004903	CAJKQE01
MGYG000004904	CAJMRY01
MGYG000004905	CAJMFD01
MGYG000004906	CAJLYG01
MGYG000004907	CAJLPP01
MGYG000004908	CAJLDB01
MGYG000004909	CAJKSR01
MGYG000004910	CAJKHC01
MGYG000004911	CAJKQH01
MGYG000004912	CAJJXT01
MGYG000004913	GCA_009158235
MGYG000004914	GCA_009093695
MGYG000004915	CAJJSH01
MGYG000004916	CAJKIY01
MGYG000004917	CAJLAA01
MGYG000004918	CAJKFV01
MGYG000004919	CAJKAZ01
MGYG000004920	CAJMQZ01
MGYG000004921	CAJMDL01
MGYG000004922	CAJKMC01
MGYG000004923	CAJJOD01
MGYG000004924	CAJJOE01
MGYG000004925	CAJKWO01
MGYG000004926	CAJKIU01
MGYG000004927	CAJLRK01
MGYG000004928	CAJJWK01
MGYG000004929	CAJLSP01
MGYG000004930	GCA_009717815
MGYG000004931	GCA_008566235
MGYG000004932	CAJKUB01
MGYG000004933	CAJLQP01
MGYG000004934	CAJJVP01
MGYG000004935	CAJLDY01
MGYG000004936	CAJKHV01
MGYG000004937	CAJJKN01
MGYG000004938	CAJLYI01
MGYG000004939	CAJKVS01
MGYG000004940	CAJLME01
MGYG000004941	CAJMOE01
MGYG000004942	CAJLIO01
MGYG000004943	GCA_009020975
MGYG000004944	CAJLCS01
MGYG000004946	GCA_008416385
MGYG000004947	CAJJQV01
MGYG000004948	GCA_009020405
MGYG000004949	CAJMJG01
MGYG000004950	CAJJMH01
MGYG000004951	CAJKPH01
MGYG000004952	CAJMMG01
MGYG000004953	CAJLPH01
MGYG000004954	CAJLAS01
MGYG000004955	CAJKEW01
MGYG000004956	CAJLJK01
MGYG000004957	CAJMFJ01
MGYG000004959	GCA_008416365
MGYG000004960	CAJLLE01
MGYG000004961	GCA_009716755
MGYG000004962	CAJJMG01
MGYG000004963	CAJLHJ01
MGYG000004964	CAJMEK01
MGYG000004965	CAJJLN01
MGYG000004966	CAJKMM01
MGYG000004967	CAJKDS01
MGYG000004968	CAJMER01
MGYG000004969	CAJMSF01
MGYG000004970	CAJKNZ01
MGYG000004971	CAJJVE01
MGYG000004972	CAJMFG01
MGYG000004973	CAJJTB01
MGYG000004974	CAJJSM01
MGYG000004975	CAJMHB01
MGYG000004976	CAJMEV01
MGYG000004978	CAJKJK01
MGYG000004979	CAJJPF01
MGYG000004980	CAJKMZ01
MGYG000004981	CAJKFJ01
MGYG000004982	CAJJLO01
MGYG000004983	CAJLXL01
MGYG000004984	CAJKWQ01
MGYG000004985	CAJKRN01
MGYG000004986	CAJKLJ01
MGYG000004987	CAJMPU01
MGYG000004988	CAJKAE01
MGYG000004989	CAJJRY01
MGYG000004990	CAJKXJ01
MGYG000004991	CAJKMH01
MGYG000004992	CAJJTU01
MGYG000004993	GCA_009020175
MGYG000004994	CAJLJE01
MGYG000004995	CAJMBG01
MGYG000004996	CAJKGZ01
MGYG000004997	CAJMIN01
MGYG000004998	CAJLLX01
MGYG000004999	CAJLYL01
MGYG000005000	CAJMHQ01
MGYG000005001	CAJKUM01
MGYG000005002	CAJKET01
MGYG000005003	CAJKKP01
MGYG000005004	CAJJMZ01
MGYG000005005	CAJMJH01
MGYG000005007	GCA_009019185
MGYG000005008	CAJJLV01
MGYG000005009	CAJJIH01
MGYG000005010	CAJLBL01
MGYG000005011	CAJMNS01
MGYG000005012	CAJJNM01
MGYG000005014	CAJLAZ01
MGYG000005015	CAJLPW01
MGYG000005016	CAJKON01
MGYG000005018	GCA_009895395
MGYG000005019	CAJLAI01
MGYG000005020	CAJKVE01
MGYG000005022	CAJKIW01
MGYG000005023	GCA_009719725
MGYG000005025	CAJLNK01
MGYG000005026	GCA_009024975
MGYG000005027	CAJLNV01
MGYG000005028	CAJLOC01
MGYG000005029	GCA_009077235
MGYG000005030	CAJKXA01
MGYG000005031	CAJMKA01
MGYG000005032	GCA_009075935
MGYG000005033	CAJKLW01
MGYG000005034	GCA_009717845
MGYG000005035	CAJLRD01
MGYG000005036	GCA_009094325
MGYG000005037	CAJKZL01
MGYG000005040	CAJKLC01
MGYG000005041	CAJLZL01
MGYG000005042	CAJKOB01
MGYG000005043	CAJKVV01
MGYG000005044	CAJKMD01
MGYG000005045	CAJKLE01
MGYG000005046	CAJMHF01
MGYG000005047	GCA_009102605
MGYG000005048	CAJLSQ01
MGYG000005049	CAJLEE01
MGYG000005050	CAJKXX01
MGYG000005051	CAJLRN01
